Name,Code,Region,Income,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,2.768,,,4.506,15.443,17.100,18.800,20.800,23.000,25.400,28.000,30.900,52.000,58.000,62.000,69.000,74.000,78.900,83.780,88.661,93.542
Afghanistan,AFG,South Asia,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,,,,0.005,0.005,0.088,0.106,1.224,2.107,1.900,1.840,3.550,4.000,5.000,5.455,5.900,7.000,8.260,10.596
Angola,AGO,Sub-Saharan Africa,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,0.001,0.006,0.018,0.072,0.105,0.136,0.270,0.371,0.465,1.143,1.500,1.700,1.900,2.300,2.800,3.100,6.500,8.900,10.200,12.400,13.000
Albania,ALB,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,0.011,0.032,0.049,0.065,0.081,0.114,0.326,0.390,0.972,2.420,6.044,9.610,15.036,23.860,41.200,45.000,49.000,54.656,57.200,60.100,63.253,66.363
Andorra,AND,Europe & Central Asia,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,1.527,3.050,6.886,7.636,10.539,,11.260,13.546,26.838,37.606,48.937,70.870,70.040,78.530,81.000,81.000,86.434,94.000,95.900,96.910,97.931
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,0.018,0.039,0.136,0.270,0.617,1.174,1.607,2.768,3.748,7.235,8.635,11.664,14.315,18.496,21.426,24.776,26.583,30.178,32.928,36.458,39.852,42.525
United Arab Emirates,ARE,Middle East & North Africa,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,0.103,0.375,3.296,6.908,14.943,23.625,26.272,28.316,29.478,30.131,40.000,52.000,61.000,63.000,64.000,68.000,78.000,85.000,88.000,90.400,90.500,90.600
Argentina,ARG,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.003,0.030,0.044,0.086,0.142,0.280,0.831,3.284,7.039,9.781,10.882,11.914,16.037,17.721,20.927,25.947,28.113,34.000,45.000,51.000,55.800,59.900,64.700,68.043,70.969
Armenia,ARM,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,0.009,0.053,0.095,0.112,0.129,0.971,1.300,1.631,1.960,4.575,4.899,5.253,5.632,6.021,6.210,15.300,25.000,32.000,37.500,41.900,54.623,64.346,67.000
American Samoa,ASM,East Asia & Pacific,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,2.201,2.858,3.481,4.072,5.301,6.482,8.899,12.500,17.229,24.267,27.000,30.000,34.000,38.000,42.000,47.000,52.000,58.000,63.400,67.780,70.000,73.000
Australia,AUS,East Asia & Pacific,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,1.097,1.769,1.975,2.232,2.760,3.275,16.369,30.813,40.784,46.756,52.689,,,,63.000,66.000,69.450,71.670,74.250,76.000,79.488,79.000,83.453,84.000,84.561,88.239
Austria,AUT,Europe & Central Asia,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130,0.259,0.643,0.765,1.393,1.890,6.909,9.534,15.421,23.044,33.730,39.185,36.560,42.700,54.280,58.000,63.600,69.370,72.870,73.450,75.170,78.740,80.030,80.619,80.996,83.940,84.323
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,0.001,0.002,0.006,0.025,0.037,0.099,0.148,0.306,5.000,,,8.030,11.992,14.540,17.080,27.400,46.000,50.000,54.200,73.000,75.000,77.000,78.200
Burundi,BDI,Sub-Saharan Africa,Low income,0.000,,,,,0.000,,,,,0.000,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.016,0.039,0.077,0.106,0.118,0.201,0.349,0.542,0.658,0.700,0.810,0.900,1.000,1.110,1.220,1.264,1.380,4.866,5.174
Belgium,BEL,Europe & Central Asia,High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.020,0.100,0.199,0.696,0.992,2.968,4.938,7.887,13.772,29.432,31.288,46.330,49.970,53.860,55.820,59.720,64.440,66.000,70.000,75.000,81.610,80.720,82.170,85.000,85.053,86.517
Benin,BEN,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,0.002,0.025,0.048,0.155,0.225,0.363,0.703,0.951,1.183,1.271,1.538,1.790,1.850,2.240,3.130,4.148,4.500,4.900,6.000,11.255,11.994
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,0.001,0.019,0.045,0.062,0.077,0.158,0.201,0.373,0.400,0.470,0.633,0.750,0.920,1.130,2.400,3.000,3.725,9.100,9.400,11.388,13.960
Bangladesh,BGD,South Asia,Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,0.001,0.004,0.036,0.071,0.130,0.140,0.164,0.199,0.242,1.000,1.800,2.500,3.100,3.700,4.500,5.000,6.630,13.900,14.400,18.247
