Name,Level,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
East Asia & Pacific,Average,0.007,,,0.080,0.118,0.211,0.468,1.085,1.889,3.426,5.622,7.298,9.050,10.605,12.662,14.720,16.670,20.815,25.300,29.554,34.270,37.398,40.738,44.604,46.837,49.830,52.932
East Asia & Pacific,Lowest,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.100,6.500,7.900,9.602
East Asia & Pacific,Highest,0.585,1.097,1.769,1.975,3.169,4.884,8.350,16.369,31.636,41.494,47.380,56.600,59.400,65.500,72.700,73.500,78.100,78.800,81.000,81.600,83.700,83.759,84.070,88.219,89.107,91.058,93.183
Europe & Central Asia,Average,0.048,,0.262,0.318,0.564,1.023,1.841,3.354,5.429,9.225,13.158,16.387,23.002,28.300,32.283,35.147,38.015,43.616,47.318,50.541,56.094,58.810,63.603,66.324,68.997,71.132,73.355
Europe & Central Asia,Lowest,0.000,0.003,0.001,0.001,0.000,0.000,0.004,0.011,0.021,0.031,0.049,0.051,0.055,0.065,0.077,0.299,1.320,1.406,1.750,1.950,3.000,5.000,7.196,9.600,12.200,14.997,17.990
Europe & Central Asia,Highest,0.707,1.407,2.216,2.784,6.795,13.900,18.250,27.479,36.264,42.803,52.000,64.000,79.120,83.140,83.890,87.000,89.510,90.600,91.000,93.000,93.390,94.820,96.210,96.547,98.160,98.200,98.240
Latin America & Caribbean,Average,0.000,,0.014,0.030,0.050,0.110,0.309,0.609,1.229,2.052,3.889,5.634,8.863,11.271,14.399,16.622,20.756,23.713,26.510,31.039,34.712,39.353,43.182,46.261,48.778,54.304,56.841
Latin America & Caribbean,Lowest,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.068,0.024,0.071,0.231,0.341,0.893,1.647,2.321,2.566,2.806,3.900,5.300,7.300,8.370,9.000,9.800,10.600,11.400,12.198,12.233
Latin America & Caribbean,Highest,0.000,0.006,0.037,0.082,0.941,3.949,4.647,6.948,9.245,11.075,16.600,19.100,27.836,39.690,49.800,52.500,55.300,58.200,61.400,64.700,66.000,69.466,74.000,78.900,83.780,88.661,93.542
Middle East & North Africa,Average,0.002,,,,,0.037,0.084,0.228,0.486,0.918,1.692,2.085,3.772,5.150,8.435,9.838,11.855,15.076,18.753,21.618,24.873,27.836,31.611,35.328,40.240,44.335,48.178
Middle East & North Africa,Lowest,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.020,0.057,0.083,0.091,0.487,0.600,0.781,0.900,0.952,0.930,1.000,1.060,2.500,5.000,7.100,9.200,10.710,11.922,13.135
Middle East & North Africa,Highest,0.111,0.215,0.311,0.399,0.577,0.930,2.168,4.399,10.307,14.943,23.625,26.272,28.920,31.640,34.620,41.240,52.000,61.000,63.000,64.000,69.000,78.000,88.000,90.000,91.490,93.478,98.000
North America,Average,0.743,1.104,1.644,2.164,4.616,8.732,15.461,20.969,29.581,35.883,43.887,50.172,59.060,61.942,64.875,68.332,69.274,74.822,74.269,71.927,72.550,71.059,75.535,72.851,74.427,75.964,77.563
North America,Lowest,0.000,0.570,0.916,1.185,2.379,4.164,6.760,15.072,24.897,35.849,42.950,47.510,52.032,56.522,60.991,65.447,68.931,73.200,74.000,71.000,71.690,69.729,74.700,71.400,73.000,74.554,76.177
North America,Highest,0.785,1.163,1.724,2.272,4.863,9.237,16.419,24.189,32.104,39.948,51.300,60.200,61.593,64.200,65.956,71.660,72.400,75.000,82.300,83.250,84.210,88.336,91.299,95.300,96.800,98.324,98.000
South Asia,Average,0.000,,0.000,0.000,0.001,0.023,0.041,0.060,0.117,0.227,0.475,0.661,1.460,1.831,2.170,2.534,2.972,3.965,4.409,5.149,7.206,9.398,11.521,13.756,19.083,23.204,26.478
South Asia,Lowest,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.004,0.036,0.071,0.005,0.005,0.088,0.106,0.242,1.000,1.410,1.730,1.970,3.700,4.500,5.000,5.900,7.000,8.260,10.596
South Asia,Highest,0.000,0.000,0.000,0.000,0.003,0.026,0.227,0.309,0.570,1.120,2.204,3.617,5.348,5.977,6.588,6.870,11.036,16.300,23.200,24.800,26.530,34.000,38.930,44.100,49.280,54.462,59.093
Sub-Saharan Africa,Average,0.000,,,,,,0.070,0.131,0.238,0.366,0.509,0.650,0.835,1.115,1.511,2.042,2.703,3.422,3.880,4.599,6.993,8.391,10.270,12.335,14.700,17.896,19.922
Sub-Saharan Africa,Lowest,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.006,0.011,0.033,0.032,0.031,0.215,0.228,0.240,0.250,0.260,0.580,0.700,0.800,0.900,0.990,1.084,1.177
Sub-Saharan Africa,Highest,0.000,0.013,0.039,0.114,0.247,0.677,0.842,1.632,2.906,6.229,7.396,11.015,14.304,14.593,24.272,25.413,34.952,38.380,40.440,22.510,41.000,43.164,47.076,50.400,51.255,54.260,56.515
